s_suppkey,s_name,s_address,s_city,s_nation,s_region,s_phone
53,Supplier#000000053,JRwXrnz2oLggl6UciySIJJpc,GERMANY  2,GERMANY,EUROPE,17-168-852-5363
54,Supplier#000000054,iZz04v,JAPAN    2,JAPAN,ASIA,22-776-370-4745
55,Supplier#000000055,dAN28JcaMkX,UNITED ST3,UNITED STATES,AMERICA,34-180-440-8525
56,Supplier#000000056,M65yF75QFrlIjpcy2C6a,MOZAMBIQU1,MOZAMBIQUE,AFRICA,26-895-685-6920
57,Supplier#000000057,Qm4A6699rL0,PERU     4,PERU,AMERICA,27-835-306-1650
58,Supplier#000000058,"0,Nmqoi1C",MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-244-493-2508
59,Supplier#000000059,eSFgP3HeD5GmjE7c9,PERU     9,PERU,AMERICA,27-355-584-3112
60,Supplier#000000060,"PP,SDzn7q9DW",INDIA    0,INDIA,ASIA,18-480-575-5866
61,Supplier#000000061,"ds,eZB",INDIA    9,INDIA,ASIA,18-626-559-8599
62,Supplier#000000062,Q8EFl36gpMazAhuwoRrs,ROMANIA  5,ROMANIA,EUROPE,29-361-978-7059
63,Supplier#000000063,"eF5,cbtiCbxbGvVr2",ETHIOPIA 5,ETHIOPIA,AFRICA,15-952-552-9584
64,Supplier#000000064,"wS,hHEibrFlCfN6I9xyPxSZK",UNITED ST3,UNITED STATES,AMERICA,34-558-731-7204
65,Supplier#000000065,qzqDj7E8l,RUSSIA   9,RUSSIA,EUROPE,32-733-623-5267
66,Supplier#000000066,B2N xmhah23IgwDe5E2Lp5tN,UNITED KI4,UNITED KINGDOM,EUROPE,33-213-373-5094
67,Supplier#000000067,U2 mgiDOjlHVnr,EGYPT    2,EGYPT,MIDDLE EAST,14-403-114-4356
68,Supplier#000000068,7MUdV0wjYowmWbbL7kfERy0I,VIETNAM  0,VIETNAM,ASIA,31-918-832-2411
69,Supplier#000000069,8YnFR1LRTMYXX,EGYPT    9,EGYPT,MIDDLE EAST,14-225-978-5670
70,Supplier#000000070,jd4djZv0cc5KdnA0q9oO,FRANCE   0,FRANCE,EUROPE,16-828-107-2832
71,Supplier#000000071,3lCSQET,ARGENTINA5,ARGENTINA,AMERICA,11-710-812-5403
72,Supplier#000000072,FgBqhDHyQvHYQFA6Wr1mQhXb,CHINA    3,CHINA,ASIA,28-759-144-9689
73,Supplier#000000073,kp1qZejw zwaou78HKrV4 ,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-473-439-3214
74,Supplier#000000074,yeXt5WdcOUQVvdNCulURp4,SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-199-862-7209
75,Supplier#000000075,ULXKdX b,CHINA    5,CHINA,ASIA,28-247-803-9025
76,Supplier#000000076,ipJ8pRXOf2xdKj6,KENYA    4,KENYA,AFRICA,24-349-718-3044
77,Supplier#000000077,"w5yO 0yjXou 8I4ffzADq,R8",GERMANY  9,GERMANY,EUROPE,17-269-357-4674
78,Supplier#000000078,StXc1Zo5rJl z avspT5Ys7,ETHIOPIA 0,ETHIOPIA,AFRICA,15-960-700-9191
79,Supplier#000000079,"C,xXyty836oYhSwmLfdle",KENYA    7,KENYA,AFRICA,24-147-850-4166
80,Supplier#000000080,PhYej9mhZXAifY4IXnVIV,VIETNAM  7,VIETNAM,ASIA,31-267-172-7101
81,Supplier#000000081,9fFQOQJKBgF5Q0K,JAPAN    8,JAPAN,ASIA,22-165-277-3269
82,Supplier#000000082,5t7gqU1BlZW,CHINA    1,CHINA,ASIA,28-159-442-5305
83,Supplier#000000083,"59h6GtoD,V0 M5s",KENYA    0,KENYA,AFRICA,24-817-154-4122
84,Supplier#000000084,oO2H4fI1kaBmgchJ,UNITED ST6,UNITED STATES,AMERICA,34-546-818-3802
85,Supplier#000000085,pGFzRay,GERMANY  8,GERMANY,EUROPE,17-745-585-8219
86,Supplier#000000086,iZLKKW,ROMANIA  6,ROMANIA,EUROPE,29-677-951-2353
87,Supplier#000000087,5ovT6anHSsD1T,UNITED ST7,UNITED STATES,AMERICA,34-869-884-7053
88,Supplier#000000088,uczJ2Tv,IRAQ     7,IRAQ,MIDDLE EAST,21-516-273-2566
89,Supplier#000000089,MJys1P8C,INDONESIA9,INDONESIA,ASIA,19-394-451-5404
90,Supplier#000000090,QbmU6KsZLYFXKv8le D9z0K0,FRANCE   8,FRANCE,EUROPE,16-603-491-1238
91,Supplier#000000091,35WVnU7GLNbQDcc2TARav,CANADA   2,CANADA,AMERICA,13-239-400-3677
92,Supplier#000000092,EWS4tXaiXFF,BRAZIL   3,BRAZIL,AMERICA,12-446-416-8471
93,Supplier#000000093,wNZNHIg37,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-359-388-5266
94,Supplier#000000094,"Gg0BfcHqe5lhc3dT,s",EGYPT    5,EGYPT,MIDDLE EAST,14-953-499-8833
95,Supplier#000000095,CYrYJqL,ROMANIA  5,ROMANIA,EUROPE,29-923-255-2929
96,Supplier#000000096,gPuBX5iIBtNrCYv2EMZ,JAPAN    8,JAPAN,ASIA,22-422-845-1202
97,Supplier#000000097,f oaJRYkUDO,EGYPT    4,EGYPT,MIDDLE EAST,14-588-919-5638
98,Supplier#000000098,DKjDSOB,VIETNAM  8,VIETNAM,ASIA,31-885-845-6889
99,Supplier#000000099,X8uG7kkYSD2 y,CHINA    2,CHINA,ASIA,28-515-237-9232
100,Supplier#000000100,AiFdrGISsw5YYFY ,VIETNAM  4,VIETNAM,ASIA,31-749-445-4907
101,Supplier#000000101,Tg67s6vXYbwXbnTsJ02h,IRAQ     5,IRAQ,MIDDLE EAST,21-514-298-3699
102,Supplier#000000102,CnEz1Y5S4,INDIA    4,INDIA,ASIA,18-324-978-8538
103,Supplier#000000103,KpBaWl2PFsCjg7K,BRAZIL   2,BRAZIL,AMERICA,12-216-107-2107
104,Supplier#000000104,oOFWtl sAwYcbM9dWRPgKT,FRANCE   1,FRANCE,EUROPE,16-966-284-8065
105,Supplier#000000105,Ppr28u,EGYPT    1,EGYPT,MIDDLE EAST,14-793-553-6417
106,Supplier#000000106,"W,m5XxtLqz5hq",VIETNAM  5,VIETNAM,ASIA,31-751-989-4627
107,Supplier#000000107,MADIqZwoZ526V,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-336-529-9919
108,Supplier#000000108,NfWTFMJL,UNITED ST0,UNITED STATES,AMERICA,34-908-619-7526
109,Supplier#000000109,XrUXFG1pfu,VIETNAM  5,VIETNAM,ASIA,31-992-422-8153
110,Supplier#000000110,NJwRcQ,MOROCCO  4,MOROCCO,AFRICA,25-893-536-2069
111,Supplier#000000111,ywVUjSHSOdRWA,EGYPT    9,EGYPT,MIDDLE EAST,14-582-283-7528
112,Supplier#000000112,xN4MVGLKwI 9ouNOSVn7d1,JAPAN    7,JAPAN,ASIA,22-233-262-8382
113,Supplier#000000113,Wr2cBBPQjzUN9rKlWmE3AiT3,IRAQ     5,IRAQ,MIDDLE EAST,21-302-930-4756
114,Supplier#000000114,7wsrIuG,SAUDI ARA8,SAUDI ARABIA,MIDDLE EAST,30-805-212-7646
115,Supplier#000000115,EhrYy0MT5M1vfZ0V4s,UNITED KI6,UNITED KINGDOM,EUROPE,33-971-699-1843
116,Supplier#000000116,LqpkbMd2vpsRKZ ,JORDAN   8,JORDAN,MIDDLE EAST,23-632-309-5792
117,Supplier#000000117,"2DFfdp0S2d,,7W",CHINA    1,CHINA,ASIA,28-403-631-3505
118,Supplier#000000118,q2ywdzlBaq,ALGERIA  2,ALGERIA,AFRICA,10-639-943-7051
119,Supplier#000000119,"Xoup f,CWtzUf2lv1it1T",CHINA    7,CHINA,ASIA,28-697-919-8406
120,Supplier#000000120,"8duC7w,8IeFaskL22RL79",GERMANY  1,GERMANY,EUROPE,17-291-534-1571
121,Supplier#000000121,p4k I1ygir,FRANCE   0,FRANCE,EUROPE,16-411-990-2959
122,Supplier#000000122,Z968jkzB8Op574o,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-702-694-4520
123,Supplier#000000123,jA9DY0vzHVJPAqaI,ROMANIA  0,ROMANIA,EUROPE,29-817-151-1168
124,Supplier#000000124,xE5QNp1rujcPaaqZLfu VS7Z,INDIA    4,INDIA,ASIA,18-183-750-7809
125,Supplier#000000125,4krMcX3PW79lT HX9U49bZw,BRAZIL   0,BRAZIL,AMERICA,12-261-996-3120
126,Supplier#000000126,pQcW2y1rC,KENYA    7,KENYA,AFRICA,24-755-914-7592
127,Supplier#000000127,"6mACXk1h0,LKOQuxA1D4U9AT",ARGENTINA9,ARGENTINA,AMERICA,11-101-672-2951
128,Supplier#000000128,"y0i,Qufb",UNITED KI2,UNITED KINGDOM,EUROPE,33-280-874-8044
129,Supplier#000000129,"SG46GWgrT7r9W,N5",MOROCCO  1,MOROCCO,AFRICA,25-415-148-7416
130,Supplier#000000130,"aDyRXfqz,mCb1Hb",UNITED KI3,UNITED KINGDOM,EUROPE,33-190-993-9281
131,Supplier#000000131,"yXE7jfKpo,uh7fxM ,Z",KENYA    8,KENYA,AFRICA,24-840-210-3572
132,Supplier#000000132, 6RYhOX,ETHIOPIA 6,ETHIOPIA,AFRICA,15-692-150-9717
133,Supplier#000000133,b70zMF,EGYPT    1,EGYPT,MIDDLE EAST,14-408-997-8430
134,Supplier#000000134,ewTNuIWlk4AN,FRANCE   6,FRANCE,EUROPE,16-200-159-5932
135,Supplier#000000135,mW6tr2ad6Un87,GERMANY  3,GERMANY,EUROPE,17-399-293-6241
136,Supplier#000000136,9t45CFR1l ,INDIA    3,INDIA,ASIA,18-501-210-4726
137,Supplier#000000137,ISZeZ6aowgPi5DBfDi6D,CHINA    4,CHINA,ASIA,28-777-409-5654
138,Supplier#000000138,yyPBFrErKTaEu5L3CdNJP a,ROMANIA  1,ROMANIA,EUROPE,29-394-860-4589
139,Supplier#000000139,"sYEafbz5hS5fp8DG,9rP4",RUSSIA   5,RUSSIA,EUROPE,32-140-352-1403
140,Supplier#000000140,FNL22NS,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-273-885-6505
141,Supplier#000000141,WidZNxHAlJuLguC FG2,IRAN     5,IRAN,MIDDLE EAST,20-936-295-6204
142,Supplier#000000142,kwLjDcVT,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-407-425-2584
143,Supplier#000000143,RXw0Ua1edRCrls98N50LFTMJ,JAPAN    5,JAPAN,ASIA,22-314-406-7725
144,Supplier#000000144,"MSyNNngBzS,Uj",SAUDI ARA1,SAUDI ARABIA,MIDDLE EAST,30-717-379-4478
145,Supplier#000000145,C8z59qcFdg6xw3OIqmg,FRANCE   9,FRANCE,EUROPE,16-562-444-8454
146,Supplier#000000146,"ApndKp ,Wu0 LNso",RUSSIA   4,RUSSIA,EUROPE,32-835-723-3223
147,Supplier#000000147,DfNFr9aBL023,UNITED KI1,UNITED KINGDOM,EUROPE,33-803-187-4335
148,Supplier#000000148,QGop1tMvx,GERMANY  5,GERMANY,EUROPE,17-562-498-6636
149,Supplier#000000149,C5t4zIcINBkgBW,FRANCE   2,FRANCE,EUROPE,16-797-439-6760
150,Supplier#000000150,H1QHEFyhpWL0DdFRju6w4f,ETHIOPIA 4,ETHIOPIA,AFRICA,15-328-564-7630
151,Supplier#000000151,ZJN0XdqgbPYR,RUSSIA   4,RUSSIA,EUROPE,32-433-197-6339
152,Supplier#000000152,I71tScHfhAMfuKjFT0LnDh,UNITED ST9,UNITED STATES,AMERICA,34-585-850-3926
153,Supplier#000000153,BGojq7ZwRozmpck4JNl3i,INDONESIA1,INDONESIA,ASIA,19-342-316-2815
154,Supplier#000000154,LpVZccF2rtGMlnD1BDn9Q,JORDAN   1,JORDAN,MIDDLE EAST,23-522-835-6914
155,Supplier#000000155,"elC1FLAR,dYXOoWkPfOLjk",RUSSIA   3,RUSSIA,EUROPE,32-566-282-8705
156,Supplier#000000156,1g3PoPHA1dIE,ETHIOPIA 6,ETHIOPIA,AFRICA,15-723-913-3943
157,Supplier#000000157,1EmkCAp,CANADA   1,CANADA,AMERICA,13-207-442-1556
158,Supplier#000000158,sLGHPvT,GERMANY  6,GERMANY,EUROPE,17-383-680-1329
159,Supplier#000000159,vLyaxWwG,EGYPT    6,EGYPT,MIDDLE EAST,14-888-668-2668
160,Supplier#000000160,gkU5eYlSeJlDEC17BtA,EGYPT    8,EGYPT,MIDDLE EAST,14-428-666-4806
161,Supplier#000000161,MzyMnXcxFiR6dQ,ALGERIA  2,ALGERIA,AFRICA,10-805-718-2449
162,Supplier#000000162,KLYLDAtcGiS5HldT9SIV,INDONESIA4,INDONESIA,ASIA,19-131-101-2267
163,Supplier#000000163,",eJtNeI or1Oxfi2MsP",JAPAN    3,JAPAN,ASIA,22-863-349-4121
164,Supplier#000000164,"Uj0,Jr1GFzWA58rVzHPD6D",BRAZIL   2,BRAZIL,AMERICA,12-565-638-9768
165,Supplier#000000165,JbzCVBou8DvQdz9NRq6,KENYA    0,KENYA,AFRICA,24-927-209-5601
166,Supplier#000000166,to Y10Kj,JORDAN   9,JORDAN,MIDDLE EAST,23-320-530-5920
167,Supplier#000000167,mmnFNEmLpj6kcEg,SAUDI ARA4,SAUDI ARABIA,MIDDLE EAST,30-288-395-5501
168,Supplier#000000168,edwdJEUN4,INDONESIA1,INDONESIA,ASIA,19-354-984-5361
169,Supplier#000000169,"uOtE MpVh5,w6",JORDAN   9,JORDAN,MIDDLE EAST,23-362-499-3728
170,Supplier#000000170,ayz3a18xDG,UNITED KI4,UNITED KINGDOM,EUROPE,33-879-984-9818
171,Supplier#000000171,N9BpS8rkNy,IRAN     1,IRAN,MIDDLE EAST,20-513-603-7451
172,Supplier#000000172,eOGIKr3p,RUSSIA   8,RUSSIA,EUROPE,32-178-964-1847
173,Supplier#000000173,dAaslV LunxGHBe45ovkMasH,JAPAN    0,JAPAN,ASIA,22-443-196-8008
174,Supplier#000000174,NZdeHwqAU,RUSSIA   1,RUSSIA,EUROPE,32-845-455-8799
175,Supplier#000000175,gKwrK3Pp,JAPAN    0,JAPAN,ASIA,22-427-617-9922
176,Supplier#000000176,"df5DkycuSEVdLqBtcnHWshb,",IRAN     3,IRAN,MIDDLE EAST,20-432-942-8830
177,Supplier#000000177,j61rTlruYZZ,JAPAN    2,JAPAN,ASIA,22-917-786-9955
178,Supplier#000000178,6hRniEC,MOZAMBIQU1,MOZAMBIQUE,AFRICA,26-436-268-6327
179,Supplier#000000179,OXFMX4,ROMANIA  7,ROMANIA,EUROPE,29-703-953-2987
180,Supplier#000000180,ihslBWv1O80hBeffRVy2FAV,GERMANY  4,GERMANY,EUROPE,17-678-802-2105
181,Supplier#000000181,UKSQN2a33xkq2NC7ffn5h29y,KENYA    3,KENYA,AFRICA,24-653-305-8440
182,Supplier#000000182,hx83kOzqN2OGJ,GERMANY  4,GERMANY,EUROPE,17-199-211-9023
183,Supplier#000000183,tqqiwVSpm3xFF,ALGERIA  8,ALGERIA,AFRICA,10-771-279-8154
184,Supplier#000000184,67PPOiBRwNBD0yhrVBkV60VR,ARGENTINA9,ARGENTINA,AMERICA,11-739-340-5476
185,Supplier#000000185,"mWo,q5",PERU     6,PERU,AMERICA,27-760-572-8760
186,Supplier#000000186,LrJxkn4VD,ARGENTINA2,ARGENTINA,AMERICA,11-518-743-2576
187,Supplier#000000187,Deyt7GUJ7tgaJIpw 6QQ,CHINA    6,CHINA,ASIA,28-716-294-6674
188,Supplier#000000188,QCb0NcUbHdpqnCexXlQ3h,SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-613-528-7811
189,Supplier#000000189,9FblnmhDD,INDONESIA2,INDONESIA,ASIA,19-980-348-1114
190,Supplier#000000190,BB3kfTCe,IRAN     8,IRAN,MIDDLE EAST,20-730-373-8193
191,Supplier#000000191,4rN1KVny,CHINA    4,CHINA,ASIA,28-811-707-6869
192,Supplier#000000192,8xPZyX6F,MOROCCO  5,MOROCCO,AFRICA,25-750-712-2481
193,Supplier#000000193,0kwCpz0Amls,ETHIOPIA 6,ETHIOPIA,AFRICA,15-182-978-6287
194,Supplier#000000194,fniG7T,INDONESIA8,INDONESIA,ASIA,19-597-636-3003
195,Supplier#000000195,v4tYZ3F6t,BRAZIL   7,BRAZIL,AMERICA,12-757-684-6845
196,Supplier#000000196,8a3WLfvpVy4CsWl,CHINA    4,CHINA,ASIA,28-135-177-2472
197,Supplier#000000197,3oYqODDUGH3XsHXmPuz,CANADA   9,CANADA,AMERICA,13-107-312-6585
198,Supplier#000000198,EO4MRE7p,FRANCE   6,FRANCE,EUROPE,16-237-758-6141
199,Supplier#000000199,H0SlSmknxd,RUSSIA   4,RUSSIA,EUROPE,32-136-924-5232
200,Supplier#000000200,fdAQLE5VY6hwvxG,IRAQ     8,IRAQ,MIDDLE EAST,21-472-302-4189
201,Supplier#000000201,NXF1csa2RaCo5NO0k3 ,CHINA    6,CHINA,ASIA,28-759-183-9859
202,Supplier#000000202,"eqf1H9LMQU92rsp,0i,R",UNITED KI7,UNITED KINGDOM,EUROPE,33-905-805-4635
203,Supplier#000000203,wwNJPGvRhGjMVYs0LDk8,ARGENTINA9,ARGENTINA,AMERICA,11-886-563-6149
204,Supplier#000000204,"sTPyz,9iIe t",MOROCCO  9,MOROCCO,AFRICA,25-761-837-4820
205,Supplier#000000205,Alrx5TN,CANADA   8,CANADA,AMERICA,13-356-437-1311
206,Supplier#000000206,KwQVu4mDVHUjYToOgOHl,ROMANIA  2,ROMANIA,EUROPE,29-976-832-3312
207,Supplier#000000207,0bEpwMNabJU3t,BRAZIL   5,BRAZIL,AMERICA,12-562-675-6475
208,Supplier#000000208,H rxtor0gRWFmwAU,EGYPT    5,EGYPT,MIDDLE EAST,14-859-139-6234
209,Supplier#000000209,MB7PCRyoUCL CsecqBsYo3EF,CHINA    1,CHINA,ASIA,28-207-121-7721
210,Supplier#000000210,NoVrMUn32p5IS3FElypum0,BRAZIL   4,BRAZIL,AMERICA,12-876-248-9750
211,Supplier#000000211,ROEMu3EJ,BRAZIL   5,BRAZIL,AMERICA,12-965-335-9471
212,Supplier#000000212,2xydWHdizwU,GERMANY  8,GERMANY,EUROPE,17-382-405-4333
213,Supplier#000000213,",zTrWDNQynZp4sZbH39YsY8D",CHINA    4,CHINA,ASIA,28-768-700-9764
214,Supplier#000000214,qXxfguP0ruHLjP796pMUkv,KENYA    7,KENYA,AFRICA,24-180-678-6165
215,Supplier#000000215,3E1aw6o5,JAPAN    8,JAPAN,ASIA,22-564-446-4758
216,Supplier#000000216,hSXeTJ4n,KENYA    7,KENYA,AFRICA,24-296-111-5448
217,Supplier#000000217,75 1HUeYEeOThfHQOry,MOROCCO  8,MOROCCO,AFRICA,25-159-298-3849
218,Supplier#000000218,PTop5LFKme0460SQc6TUlH,IRAN     7,IRAN,MIDDLE EAST,20-480-931-8567
219,Supplier#000000219,"M,zI5ADZ70",INDONESIA7,INDONESIA,ASIA,19-159-138-6090
220,Supplier#000000220,yw45wy2XyjPmY4X,ROMANIA  0,ROMANIA,EUROPE,29-201-301-7371
221,Supplier#000000221,R6rCoq1z,IRAQ     8,IRAQ,MIDDLE EAST,21-351-738-1001
222,Supplier#000000222,Zhao9k7SOCa,MOROCCO  5,MOROCCO,AFRICA,25-722-672-5418
223,Supplier#000000223,fo8Xrt4lXbuS61gsbjN,BRAZIL   4,BRAZIL,AMERICA,12-193-643-1517
224,Supplier#000000224,JnTMl1xvauvbo,ETHIOPIA 0,ETHIOPIA,AFRICA,15-224-867-3668
225,Supplier#000000225,"Vms,zvB6LE",INDONESIA7,INDONESIA,ASIA,19-979-183-7021
226,Supplier#000000226,TXAcN7Ym29Obaqa,CANADA   4,CANADA,AMERICA,13-452-318-7709
227,Supplier#000000227,bCRVRoFFrpOTu,EGYPT    6,EGYPT,MIDDLE EAST,14-951-816-2439
228,Supplier#000000228,Ct72ryCOQ8Rzi6F,KENYA    6,KENYA,AFRICA,24-435-915-1603
229,Supplier#000000229,uOHKfAG0vSoOQGLw,KENYA    1,KENYA,AFRICA,24-243-298-4029
230,Supplier#000000230,8K7ZWVoFxRdnP,ARGENTINA9,ARGENTINA,AMERICA,11-744-950-8047
231,Supplier#000000231,"y1LlDuqzRCmh,dCST",ETHIOPIA 8,ETHIOPIA,AFRICA,15-825-880-1065
232,Supplier#000000232,"S,2hHDyjFLwtIMQ8LxphTGC",GERMANY  8,GERMANY,EUROPE,17-283-563-2674
233,Supplier#000000233,cxREA z6HheCAIklWwLf8DXm,FRANCE   5,FRANCE,EUROPE,16-574-104-3221
234,Supplier#000000234,Je GTk6nSTRy,UNITED ST1,UNITED STATES,AMERICA,34-243-424-1393
235,Supplier#000000235,5SRHHL,INDIA    4,INDIA,ASIA,18-350-790-6416
236,Supplier#000000236,O1muyOZNFeu,MOROCCO  9,MOROCCO,AFRICA,25-808-967-4503
237,Supplier#000000237,"esm3lJbdVyE 1sz,m0xkNCm",UNITED KI2,UNITED KINGDOM,EUROPE,33-414-970-5238
238,Supplier#000000238,vH81dBrqiAF 5r6Mu,INDIA    4,INDIA,ASIA,18-307-925-1236
239,Supplier#000000239,"4cZ,ZHKj hRKgYlgZ6UapQ7",RUSSIA   3,RUSSIA,EUROPE,32-699-117-6988
240,Supplier#000000240,uesfSVsvY,IRAN     5,IRAN,MIDDLE EAST,20-756-548-7835
241,Supplier#000000241,hXz3w8mDj7Sta8Pt1EP,INDIA    8,INDIA,ASIA,18-344-614-2207
242,Supplier#000000242,PB1eFj,IRAQ     4,IRAQ,MIDDLE EAST,21-324-350-3564
243,Supplier#000000243,TQaXjlMc3uL2Meq41aMrqV,FRANCE   4,FRANCE,EUROPE,16-297-684-7972
244,Supplier#000000244,sOULpeRQrUncOpZ2HPiEfpq,ARGENTINA8,ARGENTINA,AMERICA,11-621-225-8173
